You entered a buffer length of 100,x_100,y,y_100_long,,z_100_long,,,,,,,,,,,x_20
Average X value:,-0.001295, Average Y value:,0.984811, Average Z value:,0.215184, Max X values:,0.000916,-0.00531, Max Y values:,0.98706,0.981322, Max Z values:,0.000916,-0.00531,,-0.001019
Average X value:,-0.001307, Average Y value:,0.984818, Average Z value:,0.215178, Max X values:,0.000916,-0.00531, Max Y values:,0.98706,0.981322, Max Z values:,0.000916,-0.00531,,-0.000903
Average X value:,-0.001301, Average Y value:,0.984822, Average Z value:,0.215167, Max X values:,0.000916,-0.00531, Max Y values:,0.98706,0.981322, Max Z values:,0.000916,-0.00531,,-0.0008
Average X value:,-0.001329, Average Y value:,0.984844, Average Z value:,0.215165, Max X values:,0.000916,-0.00531, Max Y values:,0.98706,0.981322, Max Z values:,0.000916,-0.00531,,-0.000702
Average X value:,-0.001348, Average Y value:,0.984821, Average Z value:,0.215167, Max X values:,0.000916,-0.00531, Max Y values:,0.98706,0.981322, Max Z values:,0.000916,-0.00531,,-0.000763
Average X value:,-0.001344, Average Y value:,0.984845, Average Z value:,0.215177, Max X values:,0.000916,-0.00531, Max Y values:,0.98706,0.981322, Max Z values:,0.000916,-0.00531,,-0.000775
Average X value:,-0.001339, Average Y value:,0.984848, Average Z value:,0.215198, Max X values:,0.000916,-0.00531, Max Y values:,0.98706,0.981322, Max Z values:,0.000916,-0.00531,,-0.000781
Average X value:,-0.001334, Average Y value:,0.984856, Average Z value:,0.21521, Max X values:,0.000916,-0.00531, Max Y values:,0.98706,0.981322, Max Z values:,0.000916,-0.00531,,-0.000873
Average X value:,-0.001311, Average Y value:,0.984861, Average Z value:,0.215213, Max X values:,0.000916,-0.00531, Max Y values:,0.98706,0.981322, Max Z values:,0.000916,-0.00531,,-0.000897
Average X value:,-0.001309, Average Y value:,0.984849, Average Z value:,0.215228, Max X values:,0.000916,-0.00531, Max Y values:,0.98706,0.981322, Max Z values:,0.000916,-0.00531,,-0.000812
Average X value:,-0.001329, Average Y value:,0.984845, Average Z value:,0.215254, Max X values:,0.000916,-0.00531, Max Y values:,0.98706,0.981322, Max Z values:,0.000916,-0.00531,,-0.000647
Average X value:,-0.001334, Average Y value:,0.984838, Average Z value:,0.215266, Max X values:,0.000916,-0.00531, Max Y values:,0.98706,0.981322, Max Z values:,0.000916,-0.00531,,-0.000733
Average X value:,-0.001327, Average Y value:,0.984821, Average Z value:,0.215248, Max X values:,0.000916,-0.00531, Max Y values:,0.98706,0.981322, Max Z values:,0.000916,-0.00531,,-0.00061
Average X value:,-0.001318, Average Y value:,0.984798, Average Z value:,0.215221, Max X values:,0.000916,-0.00531, Max Y values:,0.98706,0.981322, Max Z values:,0.000916,-0.00531,,-0.000562
Average X value:,-0.001337, Average Y value:,0.984773, Average Z value:,0.215232, Max X values:,0.000916,-0.00531, Max Y values:,0.98706,0.981322, Max Z values:,0.000916,-0.00531,,-0.000641
Average X value:,-0.001328, Average Y value:,0.984775, Average Z value:,0.215218, Max X values:,0.000916,-0.00531, Max Y values:,0.98706,0.981322, Max Z values:,0.000916,-0.00531,,-0.000494
Average X value:,-0.001323, Average Y value:,0.984799, Average Z value:,0.215212, Max X values:,0.000916,-0.00531, Max Y values:,0.98706,0.981322, Max Z values:,0.000916,-0.00531,,-0.00044
